,ADM,Credito,Entrada,Prazo,Parcelas,Cod,Vencimento,Transferencia,
Imovel,Rodobens,107.141,47.980,197,687,C35,Consultar,Consultar,Disponivel
Imovel,Caixa,108.800,49.000,164,657,C127,10/08/2025,"1.070,00",Disponivel
Imovel,Itau,109.000,54.000,145,791,C09,05/08/2025,"650,00",Disponível 
Imovel,Porto,112.000,52.000,157,784,C11,15/08/2025,Consultar,Reservada
Imovel,Rodobens,113.000,60.000,83,"57 x 1.295 + 26 x 900,00",C28,10/08/2025,"1.400,00",Disponivel
Imovel,Santander,113.400,53.900,210,602,C07,10/08/2025,Consultar,Disponivel
Imovel,Caixa,114.700,45.500,159,844,C127,10/08/2025,Consultar ,Disponivel
Imovel,Mycon,115.932,60.000,163,625,C209,08/08/2025,"579,66",Disponivel
Imovel,Caixa,117.500,69.000,155,792,C07,10/08/2025,Consultar,Disponivel
Imovel,Yamaha,117.500,54.900,160,765,C07,15/08/2025,Consultar,Disponivel
Imovel,Mycon,117.721,60.600,163,625,C209,08/08/2025,"579,66",Disponivel
Imovel,Porto,118.000,66.000,81,1.096,C10,15/08/2025,"1.140,00",Disponivel
Imovel,Porto,118.000,70.200,81,1.096,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,118.150,67.500,153,07 x 778 + 146 x 726,C127,15/08/2025,"1.664,00",Disponivel
Imovel,Porto,119.750,63.000,107,933,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,120.000,71.500,126,893,C28,10/08/2025,"1.686,00",Disponivel
Imovel,Yamaha,120.000,58.000,238,594,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,120.860,44.000,65,"3 x 2.667,00 + 62 x 2.175,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Embracon,120.900,53.000,219,"2 x 785,00 + 217 x 643,00",C07,20/08/2025,Consultar,Disponivel
Imovel,Itau,122.170,58.000,157,796,C34,05/08/2025,"650,00",Disponível 
Imovel,Porto,125.460,67.000,96,1.078,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,128.000,78.000,70,1.301,C70,15/08/2025,"1.400,00",Disponivel
Imovel,Porto,128.000,80.950,70,1.301,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,128.600,65.000,150,871,C10,15/08/2025,"1.837,00",Disponivel
Imovel,Mycon,129.969,64.900,159,869,C209,08/08/2025,"645,24",Disponivel
Imovel,Sicredi,131.000,76.000,131,709,C07,25/08/2025,Consultar,Disponivel
Imovel,Porto,132.930,84.000,93,1.187,C127,15/08/2025,"1.785,00",Disponivel
Imovel,Porto,133.300,65.000,105,1.139,C10,15/08/2025,"1.730,00",Disponivel
Imovel,Itau,133.849,77.990,51,1.776,C80,Consultar,"650,00",Disponivel
Imovel,Sicredi,134.240,71.500,130,715,C127,Consultar,Consultar,Disponivel
Imovel,Rodobens,134.487,84.219,78,37 x 1.216 + 41 x 960,C35,Consultar,Consultar,Disponivel
Imovel,Bradesco,134.500,82.000,61,792,C117,10/08/2025,Consultar,Disponivel
Imovel,Itau,139.559,55.190,50,2.793,C80,Consultar,"650,00",Disponivel
Imovel,Porto,143.000,69.000,183,867,C11,15/08/2025,Consultar,Disponivel
Imovel,Porto,143.428,39.190,33,4.485,C80,Consultar,Consultar,Reservada
Imovel,Porto,144.000,75.000,146,985,C10,15/08/2025,"2.057,00",Disponivel
Imovel,Caixa,150.000,73.400,184,888,C07,10/08/2025,Consultar,Disponivel
Imovel,Yamaha,150.000,64.000,195,943,C07,15/08/2025,Consultar,Disponivel
Imovel,Yamaha,150.000,69.000,195,943,C35,Consultar,Consultar,Disponivel
Imovel,Caixa,151.000,67.300,196,1.008,C07,10/08/2025,Consultar,Disponivel
Imovel,Itau,151.370,69.990,45,3.403,C80,Consultar,"650,00",Disponivel
Imovel,Porto,152.600,84.000,151,872,C07,15/08/2025,Consultar,Disponivel
Imovel,Itau,153.000,80.000,121,905,C07,05/08/2025,Consultar,Disponivel
Imovel,Cnp,154.600,78.000,103,1.053,C07,11/08/2025,Consultar,Disponivel
Imovel,Porto,156.600,76.750,80,1.845,C28,15/08/2025,"1.920,00",Disponivel
Imovel,Cnp,157.500,64.000,125,1.529,C07,11/08/2025,Consultar,Disponivel
Imovel,Santander,158.300,75.450,180,990,C07,10/08/2025,Consultar,Disponivel
Imovel,Itau,159.096,75.990,34,4.217,C80,Consultar,"650,00",Disponivel
Imovel,Mycon,160.398,96.700,190,566,C209,08/08/2025,"984,82",Disponivel
Imovel,Itau,160.624,35.990,25,6.735,C80,Consultar,"650,00",Reservada
Imovel,Itau,160.624,35.990,25,6.735,C80,Consultar,"650,00",Reservada
Imovel,Porto,161.000,112.000,87,950,C10,15/08/2025,"1.900,00",Disponivel
Imovel,Itau,161.670,40.990,26,7.417,C80,Consultar,"650,00",Disponivel
Imovel,Itau,162.695,35.490,27,6.133,C80,Consultar,"650,00",Reservada
Imovel,Caixa,163.000,83.050,138,1.405,C07,10/08/2025,Consultar,Disponivel
Imovel,Itau,164.399,75.990,49,2.761,C80,Consultar,"650,00",Reservada
Imovel,Cnp,165.700,83.000,123,987,C07,11/08/2025,Consultar,Disponivel
Imovel,Mycon,169.200,82.000,193,1.054,C209,08/08/2025,"1.200,00",Disponivel
Imovel,Mycon,174.000,85.000,178,970,C209,08/08/2025,"870,00",Disponivel
